competitor,source_id,name,address,suburb,region,venue_type,latitude,longitude,website,source_url,scraped_at,phone,email
Villbrygg,,Vinmonopolet - Nesttun,"Østre Nesttunvegen 16, 5221 Nesttun, Norway",Bergen,Norway,Shops,60.3174634,5.3542289,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Sletten Senter,"Vilhelm Bjerknes' vei 4, 5081 Bergen, Norway",Bergen,Norway,Shops,60.356605,5.35907,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Valkendorfsgaten,"Valkendorfsgaten 6, 5012 Bergen, Norway",Bergen,Norway,Shops,60.3938429,5.3208704,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Vestkanten,"Loddefjordveien 2, 5171 Loddefjord, Norway",Bergen,Norway,Shops,60.3632202,5.2336282,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Åsane Horisont,"Myrdalsvegen 2, 5130 Nyborg, Norway",Bergen,Norway,Shops,60.4704078,5.3231595,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Os,"Hamnevegen 48, 5200 Os, Norway",Bjørnafjorden,Norway,Shops,60.183747,5.4723781,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Egna,"Verkstedveien 1, 8008 Bodø, Norway",Bodø,Norway,Shops,67.2788956,14.418188,https://www.egna.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Bodø City Nord,"Stormyrveien 20, 8008 Bodø, Norway",Bodø,Norway,Shops,67.2776496,14.422654,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Bodø Hunstad,"Hunstadsentret 9, 8022 Bodø, Norway",Bodø,Norway,Shops,67.2814168,14.539776,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Brønnøysund,"Havnesenteret, Storgata 58, 8900 Brønnøysund, Norway",Brønnøy,Norway,Shops,65.4730675,12.2086871,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Hovden,"Otravegen 11, 4755 Hovden I Setesdal, Norway",Bykle,Norway,Shops,59.5598365,7.3554524,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Strand Restaurant,"Strandalleen 48, 1368 Stabekk, Norway",Bærum,Norway,Restaurants & bars,59.8997377,10.5950763,https://www.strandrestaurant.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Bekkestua,"Gamle Ringeriksvei 34, 1357 Bekkestua, Norway",Bærum,Norway,Shops,59.916367,10.588047,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Bærums Verk,"Vertshusveien 2, 1353 Bærums Verk, Norway",Bærum,Norway,Shops,59.941066,10.50153,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Fornebu,"Snarøyveien 55-57, 1364 Fornebu, Norway",Bærum,Norway,Shops,59.8935166,10.6207603,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Høvik,"O. H. Bangsvei 5, 1363 Høvik, Norway",Bærum,Norway,Shops,59.899754,10.5813894,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Kolsås,"Rødskiferveien 1, 1352 Kolsås, Norway",Bærum,Norway,Shops,59.916733,10.500526,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Sandvika Storsenter,"Brodtkorbsgate 7, 1338 Sandvika, Norway",Bærum,Norway,Shops,59.890583,10.519496,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Bekkestua,"Gamle Ringeriksvei 33a, 1357 Bekkestua, Norway",Bærum,Norway,Shops,59.916512,10.588884,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Bærum Fornebu,"Snarøyveien 55, 1364 Fornebu, Norway",Bærum,Norway,Shops,59.8935166,10.6207603,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Bærum Østerås,"Otto Ruges vei 80, 1361 Østerås, Norway",Bærum,Norway,Shops,59.94373,10.60709,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Bærums Verk,"Vertshusveien 2, 1353 Bærums Verk, Norway",Bærum,Norway,Shops,59.941066,10.50153,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Kolsås,"Rødskiferveien 1, 1352 Kolsås, Norway",Bærum,Norway,Shops,59.916733,10.500526,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Sandvika,"Leif Tronstads plass 2, 1337 Sandvika, Norway",Bærum,Norway,Shops,59.8931843,10.5234983,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Bø I Vesterålen,"Vinjegården Kjøpesenter, Bøveien 508, 8470 Bø I Vesterålen, Norway",Bø,Norway,Shops,68.6207857,14.4457276,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Bømlo,"Stavlandsvegen 5, 5430 Svortland, Norway",Bømlo,Norway,Shops,59.7928277,5.1720562,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Dombås,"Sentralplassen 5, 2660 Dombås, Norway",Dovre,Norway,Shops,62.0734762,9.1263211,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Konnerud,"Pettersvolden 3, 3032 Drammen, Norway",Drammen,Norway,Shops,59.717538,10.1496224,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Bragernes,"Rådhusgata 2, 3016 Drammen, Norway",Drammen,Norway,Shops,59.745804,10.202356,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Drammen Cc,"Tomtegata 36, 3012 Drammen, Norway",Drammen,Norway,Shops,59.741233,10.222777,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Drammen Strømsø,"Torgeir Vraas Plass 6, 3044 Drammen, Norway",Drammen,Norway,Shops,59.739112,10.200515,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Krokstadelva,"Sandsgata 20, 3055 Krokstadelva, Norway",Drammen,Norway,Shops,59.7561452,9.9991589,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Svelvik,"Storgaten 35, 3060 Svelvik, Norway",Drammen,Norway,Shops,59.6176063,10.4095138,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Eidsvoll,"Rådhusgata 17, 2080 Sundet, Norway",Eidsvoll,Norway,Shops,60.329486,11.258922,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Råholt,"Gladbakkvegen 1, 2070 Sagmoen, Norway",Eidsvoll,Norway,Shops,60.281003,11.173984,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Egersund,"Nytorget 11, 4370 Egersund, Norway",Eigersund,Norway,Shops,58.4519963,6.0034529,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Elverum,"Storgata 10, 2408 Elverum, Norway",Elverum,Norway,Shops,60.8831694,11.5615369,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Etne,"E134 230, 5590 Etne, Norway",Etne,Norway,Shops,,,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Evje,"Sentrumsbygget, Nils Heglands veg,, 4735 Evje, Norway",Evje Og Hornnes,Norway,Shops,58.5891832,7.8116575,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Farsund,"Vestersiden 1, 4550 Farsund, Norway",Farsund,Norway,Shops,58.096605,6.805612,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Fauske,"Amfi Fauske, Sjøgata 74, 8200 Fauske, Norway",Fauske,Norway,Shops,67.258579,15.395308,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Flekkefjord,"Kirkegaten 14, 4400 Flekkefjord, Norway",Flekkefjord,Norway,Shops,58.2965231,6.6619037,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Hoi Polloi,"Nygårdsplassen 4, 1607 Fredrikstad, Norway",Fredrikstad,Norway,Restaurants & bars,59.212159,10.937614,https://hoipolloi.bar/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Wilbergjordet,"Wilbergjordet 10, 1605 Fredrikstad, Norway",Fredrikstad,Norway,Shops,59.224978,10.953908,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Ørebekk,"Storveien 3 B, 1624 Gressvik, Norway",Fredrikstad,Norway,Shops,59.2300795,10.9117811,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Fredrikstad,"Borgarveien 15, 1633 Gamle Fredrikstad, Norway",Fredrikstad,Norway,Shops,59.206404,10.971959,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Gml Fredrikstad,"Borgarveien 15, 1633 Gamle Fredrikstad, Norway",Fredrikstad,Norway,Shops,59.206404,10.971959,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Drøbak City,"Holterveien 3, 1448 Drøbak, Norway",Frogn,Norway,Shops,59.6727845,10.6585376,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Drøbak,"Wienerbrødskjæringa 3, 1440 Drøbak, Norway",Frogn,Norway,Shops,59.664191,10.629567,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Froland,"Frolandssenteret 12, 4820 Froland, Norway",Froland,Norway,Shops,58.5083124,8.6294439,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Frosta,"Frostasenteret, Alstadjordet, 7633 Frosta, Norway",Frosta,Norway,Shops,63.5883455,10.7403869,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Frøya,"Sørveien 11, 7260 Sistranda, Norway",Frøya,Norway,Shops,63.7289121,8.8280437,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Tjøme Kolonial,"Vestveien 644, 3145 Tjøme, Norway",Færder,Norway,Shops,59.1146,10.388734,http://www.tjomekolonial.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Nøtterøy,"Ørsnesalleen 31, 3120 Nøtterøy, Norway",Færder,Norway,Shops,59.2525696,10.4184904,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Tjøme,"Østveien 665, 3145 Tjøme, Norway",Færder,Norway,Shops,59.1159875,10.3933834,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Gausdal,"Fargerivegen 5, 2651 Østre Gausdal, Norway",Gausdal,Norway,Shops,61.226372,10.2224782,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
